geo country;time;powertrain;relative sales
Norway;2010;BEV;0,003
Norway;2011;BEV;0,014499999
Norway;2012;BEV;0,030800001
Norway;2013;BEV;0,0525
Norway;2014;BEV;0,12
Norway;2015;BEV;0,1611
Norway;2016;BEV;0,148899999
Norway;2017;BEV;0,195800001
Norway;2018;BEV;0,290300001
Norway;2019;BEV;0,4056
Norway;2020;BEV;0,5427
Norway;2021;BEV;0,644499999
Norway;2022;BEV;0,793299999
Norway;2023;BEV;0,818799999
Poland;2000;BEV;0
Poland;2001;BEV;0
Poland;2002;BEV;0
Poland;2003;BEV;0
Poland;2004;BEV;0
Poland;2005;BEV;0
Poland;2006;BEV;0
Poland;2007;BEV;0
Poland;2008;BEV;0
Poland;2009;BEV;0
Poland;2010;BEV;0
Poland;2011;BEV;9,99E-05
Poland;2012;BEV;9,99E-05
Poland;2013;BEV;9,99E-05
Poland;2014;BEV;0,0003
Poland;2015;BEV;0,0003
Poland;2016;BEV;0,000399666
Poland;2017;BEV;0,000999999
Poland;2018;BEV;0,001299999
Poland;2019;BEV;0,002600001
Poland;2020;BEV;0,008600001
Poland;2021;BEV;0,015999999
Poland;2022;BEV;0,026900001
Poland;2023;BEV;0,036
Portugal;2000;BEV;0
Portugal;2001;BEV;0
Portugal;2002;BEV;0
Portugal;2003;BEV;0
Portugal;2004;BEV;0
Portugal;2005;BEV;0
Portugal;2006;BEV;0
Portugal;2007;BEV;0
Portugal;2008;BEV;0
Portugal;2009;BEV;0
Portugal;2010;BEV;9,99E-05
Portugal;2011;BEV;0,001299333
Portugal;2012;BEV;0,000699333
Portugal;2013;BEV;0,001599333
Portugal;2014;BEV;0,001400001
Portugal;2015;BEV;0,0039
Portugal;2016;BEV;0,003999999
Portugal;2017;BEV;0,007700001
Portugal;2018;BEV;0,019700001
Portugal;2019;BEV;0,030800001
Portugal;2020;BEV;0,054
Portugal;2021;BEV;0,090399999
Portugal;2022;BEV;0,113900001
Portugal;2023;BEV;0,1821
Romania;2000;BEV;0
Romania;2001;BEV;0
Romania;2002;BEV;0
Romania;2003;BEV;0
Romania;2004;BEV;0
Romania;2005;BEV;0
Romania;2006;BEV;0
Romania;2007;BEV;0
Romania;2008;BEV;0
Romania;2009;BEV;0
Romania;2010;BEV;0
Romania;2011;BEV;9,99E-05
Romania;2012;BEV;0
Romania;2013;BEV;0,000501
Romania;2014;BEV;0
Romania;2015;BEV;0,000699333
Romania;2016;BEV;0,000699666
Romania;2017;BEV;0,002199999
Romania;2018;BEV;0,003800001
Romania;2019;BEV;0,009999999
Romania;2020;BEV;0,0225
Romania;2021;BEV;0,052599999
Romania;2022;BEV;0,0894
Romania;2023;BEV;0,1053
Slovakia;2000;BEV;0
Slovakia;2001;BEV;0
Slovakia;2002;BEV;0
Slovakia;2003;BEV;0
Slovakia;2004;BEV;0
Slovakia;2005;BEV;0
Slovakia;2006;BEV;0
Slovakia;2007;BEV;0
Slovakia;2008;BEV;0
Slovakia;2009;BEV;0
Slovakia;2010;BEV;0
Slovakia;2011;BEV;0,000399
Slovakia;2012;BEV;0
Slovakia;2013;BEV;0
Slovakia;2014;BEV;0,0003
Slovakia;2015;BEV;0,0002001
Slovakia;2016;BEV;0,0006
Slovakia;2017;BEV;0,002199999
Slovakia;2018;BEV;0,003099999
Slovakia;2019;BEV;0,001599999
Slovakia;2020;BEV;0,011900001
Slovakia;2021;BEV;0,015
Slovakia;2022;BEV;0,019100001
Slovakia;2023;BEV;0,028599999
Slovenia;2000;BEV;0
Slovenia;2001;BEV;0
Slovenia;2002;BEV;0
Slovenia;2003;BEV;0
Slovenia;2004;BEV;0
Slovenia;2005;BEV;0
Slovenia;2006;BEV;0
Slovenia;2007;BEV;0
Slovenia;2008;BEV;0
Slovenia;2009;BEV;0
Slovenia;2010;BEV;0
Slovenia;2011;BEV;0,0002001
Slovenia;2012;BEV;0,0003
Slovenia;2013;BEV;0
Slovenia;2014;BEV;0,000399666
Slovenia;2015;BEV;0,0015
Slovenia;2016;BEV;0,002300334
Slovenia;2017;BEV;0,004596666
Slovenia;2018;BEV;0,006399999
Slovenia;2019;BEV;0,008000001
Slovenia;2020;BEV;0,0312
Slovenia;2021;BEV;0,031299999
Slovenia;2022;BEV;0,050000001
Slovenia;2023;BEV;0,088599999
Spain;2000;BEV;0
Spain;2001;BEV;0
Spain;2002;BEV;0
Spain;2003;BEV;0
Spain;2004;BEV;0
Spain;2005;BEV;0
Spain;2006;BEV;0
Spain;2007;BEV;0
Spain;2008;BEV;0
Spain;2009;BEV;0
Spain;2010;BEV;9,99E-05
Spain;2011;BEV;0,000699
Spain;2012;BEV;0,0006
Spain;2013;BEV;0,001299666
Spain;2014;BEV;0,0012
Spain;2015;BEV;0,001400334
Spain;2016;BEV;0,001899666
Spain;2017;BEV;0,003203334
Spain;2018;BEV;0,0045
Spain;2019;BEV;0,008000001
Spain;2020;BEV;0,021399999
Spain;2021;BEV;0,0282
Spain;2022;BEV;0,038600001
Spain;2023;BEV;0,057800001
Sweden;2000;BEV;0
Sweden;2001;BEV;0
Sweden;2002;BEV;0
Sweden;2003;BEV;0
Sweden;2004;BEV;0
Sweden;2005;BEV;0
Sweden;2006;BEV;0
Sweden;2007;BEV;0
Sweden;2008;BEV;0
Sweden;2009;BEV;9,99E-05
Sweden;2010;BEV;0,0002001
Sweden;2011;BEV;0,0006
Sweden;2012;BEV;0,000999999
Sweden;2013;BEV;0,001599999
Sweden;2014;BEV;0,0042
Sweden;2015;BEV;0,008600001
Sweden;2016;BEV;0,008300001
Sweden;2017;BEV;0,011199999
Sweden;2018;BEV;0,019899999
Sweden;2019;BEV;0,042500001
Sweden;2020;BEV;0,095499999
Sweden;2021;BEV;0,190899999
Sweden;2022;BEV;0,328400001
Sweden;2023;BEV;0,384200001
Austria;2011;PHEV;0
Austria;2012;PHEV;0,000800667
Austria;2013;PHEV;0,0003
Austria;2014;PHEV;0,000699666
Austria;2015;PHEV;0,003200001
Austria;2016;PHEV;0,0036
Austria;2017;PHEV;0,005199999
Austria;2018;PHEV;0,006200001
Austria;2019;PHEV;0,0084
Austria;2020;PHEV;0,0312
Austria;2021;PHEV;0,060999999
Austria;2022;PHEV;0,061700001
Austria;2023;PHEV;0,068600001
Belgium;2011;PHEV;0
Belgium;2012;PHEV;0,000699333
Belgium;2013;PHEV;9,99E-05
Belgium;2014;PHEV;0,001299666
Belgium;2015;PHEV;0,004299999
Belgium;2016;PHEV;0,012999999
Belgium;2017;PHEV;0,021
Belgium;2018;PHEV;0,016899999
Belgium;2019;PHEV;0,015800001
Belgium;2020;PHEV;0,0765
Belgium;2021;PHEV;0,126500001
Belgium;2022;PHEV;0,1653
Belgium;2023;PHEV;0,210099999
Bulgaria;2011;PHEV;0
Bulgaria;2012;PHEV;0,0002001
Bulgaria;2013;PHEV;0
Bulgaria;2014;PHEV;0
Bulgaria;2015;PHEV;0
Bulgaria;2016;PHEV;0
Bulgaria;2017;PHEV;0,0018
Bulgaria;2018;PHEV;0,0027
Bulgaria;2019;PHEV;0,0027
Bulgaria;2020;PHEV;0,012500001
Bulgaria;2021;PHEV;0,010899999
Bulgaria;2022;PHEV;0,0159
Bulgaria;2023;PHEV;0,009500001
Croatia;2011;PHEV;0
Croatia;2012;PHEV;0
Croatia;2013;PHEV;0
Croatia;2014;PHEV;0
Croatia;2015;PHEV;0,000399999
Croatia;2016;PHEV;0,0003
Croatia;2017;PHEV;0,0002001
Croatia;2018;PHEV;0
Croatia;2019;PHEV;0,000800001
Croatia;2020;PHEV;0,0039
Croatia;2021;PHEV;0,008900001
Croatia;2022;PHEV;0,017900001
Croatia;2023;PHEV;0,018
Cyprus;2011;PHEV;0
Cyprus;2012;PHEV;0
Cyprus;2013;PHEV;0
Cyprus;2014;PHEV;0
Cyprus;2015;PHEV;0,002000001
Cyprus;2016;PHEV;0,001400001
Cyprus;2017;PHEV;0,003800001
Cyprus;2018;PHEV;0,003699999
Cyprus;2019;PHEV;0,006999999
Cyprus;2020;PHEV;0,0078
Cyprus;2021;PHEV;0,011499999
Cyprus;2022;PHEV;0,016899999
Cyprus;2023;PHEV;0,0342
Czech Republic;2011;PHEV;0
Czech Republic;2012;PHEV;9,99E-05
Czech Republic;2013;PHEV;0
Czech Republic;2014;PHEV;9,99E-05
Czech Republic;2015;PHEV;0,000399666
Czech Republic;2016;PHEV;0,000500667
Czech Republic;2017;PHEV;0,0009
Czech Republic;2018;PHEV;0,0009
Czech Republic;2019;PHEV;0,001899999
Czech Republic;2020;PHEV;0,009699999
Czech Republic;2021;PHEV;0,0183
Czech Republic;2022;PHEV;0,018500001
Czech Republic;2023;PHEV;0,025100001
Denmark;2011;PHEV;0
Denmark;2012;PHEV;0,0002001
Denmark;2013;PHEV;0
Denmark;2014;PHEV;9,99E-05
Denmark;2015;PHEV;0,0006
Denmark;2016;PHEV;0,000699999
Denmark;2017;PHEV;0,001100001
Denmark;2018;PHEV;0,014600001
Denmark;2019;PHEV;0,016899999
Denmark;2020;PHEV;0,092499999
Denmark;2021;PHEV;0,218199999
Denmark;2022;PHEV;0,178100001
Denmark;2023;PHEV;0,096399999
