geo country;stock_year;powertrain;share
Luxembourg;2022;BEV;0,0326
Luxembourg;2023;BEV;0,0562
Luxembourg;2008;G-PHEV;0
Luxembourg;2009;G-PHEV;0
Luxembourg;2010;G-PHEV;0
Luxembourg;2011;G-PHEV;0
Luxembourg;2012;G-PHEV;0,0001
Luxembourg;2013;G-PHEV;0,0002
Luxembourg;2014;G-PHEV;0,0004
Luxembourg;2015;G-PHEV;0,0007
Luxembourg;2016;G-PHEV;0,0011
Luxembourg;2017;G-PHEV;0,0027
Luxembourg;2018;G-PHEV;0,004
Luxembourg;2019;G-PHEV;0,006
Luxembourg;2020;G-PHEV;0,0104
Luxembourg;2021;G-PHEV;0,021
Luxembourg;2022;G-PHEV;0,0286
Luxembourg;2023;G-PHEV;0,038
Malta;2008;BEV;0
Malta;2009;BEV;0
Malta;2010;BEV;0
Malta;2011;BEV;0
Malta;2012;BEV;0,0002
Malta;2013;BEV;0,0002
Malta;2014;BEV;0,0003
Malta;2015;BEV;0,0005
Malta;2016;BEV;0,0005
Malta;2017;BEV;0,0006
Malta;2018;BEV;0,001
Malta;2019;BEV;0,0032
Malta;2020;BEV;0,0042
Malta;2021;BEV;0,0057
Malta;2022;BEV;0,0082
Malta;2023;BEV;0,0113
Malta;2008;G-PHEV;0
Malta;2009;G-PHEV;0
Malta;2010;G-PHEV;0
Malta;2011;G-PHEV;0
Malta;2012;G-PHEV;0
Malta;2013;G-PHEV;0
Malta;2014;G-PHEV;0
Malta;2015;G-PHEV;0
Malta;2016;G-PHEV;0
Malta;2017;G-PHEV;0
Malta;2018;G-PHEV;0
Malta;2019;G-PHEV;0,0006
Malta;2020;G-PHEV;0,0021
Malta;2021;G-PHEV;0,0023
Malta;2022;G-PHEV;0,0085
Malta;2023;G-PHEV;0,0115
Netherlands;2008;BEV;0
Netherlands;2009;BEV;0
Netherlands;2010;BEV;0
Netherlands;2011;BEV;0
Netherlands;2012;BEV;0,0003
Netherlands;2013;BEV;0,0005
Netherlands;2014;BEV;0,0009
Netherlands;2015;BEV;0,0012
Netherlands;2016;BEV;0,0016
Netherlands;2017;BEV;0,0025
Netherlands;2018;BEV;0,0052
Netherlands;2019;BEV;0,0121
Netherlands;2020;BEV;0,0196
Netherlands;2021;BEV;0,0276
Netherlands;2022;BEV;0,0369
Netherlands;2023;BEV;0,0495
Netherlands;2008;G-PHEV;0
Netherlands;2009;G-PHEV;0
Netherlands;2010;G-PHEV;0
Netherlands;2011;G-PHEV;0
Netherlands;2012;G-PHEV;0
Netherlands;2013;G-PHEV;0,0031
Netherlands;2014;G-PHEV;0,0046
Netherlands;2015;G-PHEV;0,0096
Netherlands;2016;G-PHEV;0,0117
Netherlands;2017;G-PHEV;0,0116
Netherlands;2018;G-PHEV;0,0112
Netherlands;2019;G-PHEV;0,0106
Netherlands;2020;G-PHEV;0,0114
Netherlands;2021;G-PHEV;0,0156
Netherlands;2022;G-PHEV;0,021
Netherlands;2023;G-PHEV;0,0295
Norway;2008;BEV;0
Norway;2009;BEV;0,0006
Norway;2010;BEV;0,0008
Norway;2011;BEV;0,0017
Norway;2012;BEV;0,0027
Norway;2013;BEV;0,0062
Norway;2014;BEV;0,0166
Norway;2015;BEV;0,0281
Norway;2016;BEV;0,038
Norway;2017;BEV;0,0509
Norway;2018;BEV;0,0727
Norway;2019;BEV;0,0956
Norway;2020;BEV;0,1182
Norway;2021;BEV;0,1566
Norway;2022;BEV;0,2027
Norway;2023;BEV;0,2201
Norway;2008;G-PHEV;0
Norway;2009;G-PHEV;0
Norway;2010;G-PHEV;0
Norway;2011;G-PHEV;0
Norway;2012;G-PHEV;0,0001
Norway;2013;G-PHEV;0,0002
Norway;2014;G-PHEV;0,0008
Norway;2015;G-PHEV;0,0039
Norway;2016;G-PHEV;0,0116
Norway;2017;G-PHEV;0,0218
Norway;2018;G-PHEV;0,0314
Norway;2019;G-PHEV;0,0377
Norway;2020;G-PHEV;0,0458
Norway;2021;G-PHEV;0,0575
Norway;2022;G-PHEV;0,0614
Norway;2023;G-PHEV;0,0608
Poland;2008;BEV;0
Poland;2009;BEV;0
Poland;2010;BEV;0
Poland;2011;BEV;0
Poland;2012;BEV;0
Poland;2013;BEV;0
Poland;2014;BEV;0
Poland;2015;BEV;0
Poland;2016;BEV;0
Poland;2017;BEV;0
Poland;2018;BEV;0,0001
Poland;2019;BEV;0,0001
Poland;2020;BEV;0,0003
Poland;2021;BEV;0,0005
Poland;2022;BEV;0,001
Poland;2023;BEV;0,0018
Poland;2008;G-PHEV;0
Poland;2009;G-PHEV;0
Poland;2010;G-PHEV;0
Poland;2011;G-PHEV;0
Poland;2012;G-PHEV;0
Poland;2013;G-PHEV;0
Poland;2014;G-PHEV;0
Poland;2015;G-PHEV;0
Poland;2016;G-PHEV;0
Poland;2017;G-PHEV;0
Poland;2018;G-PHEV;0,0001
Poland;2019;G-PHEV;0,0001
Poland;2020;G-PHEV;0,0002
Poland;2021;G-PHEV;0,0006
Poland;2022;G-PHEV;0,001
Poland;2023;G-PHEV;0,0015
Portugal;2008;BEV;0
Portugal;2009;BEV;0
Portugal;2010;BEV;0
Portugal;2011;BEV;0,0001
Portugal;2012;BEV;0,0001
Portugal;2013;BEV;0,0001
Portugal;2014;BEV;0,0001
Portugal;2015;BEV;0,0002
Portugal;2016;BEV;0,0005
Portugal;2017;BEV;0,0015
Portugal;2018;BEV;0,0032
Portugal;2019;BEV;0,0053
Portugal;2020;BEV;0,0061
Portugal;2021;BEV;0,0089
Portugal;2022;BEV;0,0116
Portugal;2023;BEV;0,0179
Portugal;2008;G-PHEV;0
Portugal;2009;G-PHEV;0
Portugal;2010;G-PHEV;0
Portugal;2011;G-PHEV;0
Portugal;2012;G-PHEV;0
Portugal;2013;G-PHEV;0
Portugal;2014;G-PHEV;0
Portugal;2015;G-PHEV;0,0002
Portugal;2016;G-PHEV;0,0004
Portugal;2017;G-PHEV;0,0009
Portugal;2018;G-PHEV;0,0018
Portugal;2019;G-PHEV;0,0032
Portugal;2020;G-PHEV;0,005
Portugal;2021;G-PHEV;0,0077
Portugal;2022;G-PHEV;0,0112
Portugal;2023;G-PHEV;0,0157
Romania;2008;BEV;0
